checkout_date,degree,checkout_count
2019-01-02,Alumni,30.0
2019-01-02,Teacher,430.0
2019-01-02,bachelor degree,27.0
2019-01-02,doctoral degree,32.0
2019-01-02,master degree,33.0
2019-01-03,Alumni,40.0
2019-01-03,Teacher,1181.0
2019-01-03,bachelor degree,5.0
2019-01-03,doctoral degree,144.0
2019-01-03,master degree,36.0
2019-01-04,master degree,18.0
2019-01-04,doctoral degree,13.0
2019-01-04,bachelor degree,28.0
2019-01-04,Teacher,247.0
2019-01-04,Alumni,49.0
2019-01-05,Alumni,10.0
2019-01-05,Teacher,8.0
2019-01-05,bachelor degree,20.0
2019-01-05,doctoral degree,7.0
2019-01-05,master degree,48.0
2019-01-06,Alumni,18.0
2019-01-06,Teacher,6.0
2019-01-06,bachelor degree,53.0
2019-01-07,master degree,77.0
2019-01-07,doctoral degree,55.0
2019-01-07,Teacher,1929.0
2019-01-07,Alumni,23.0
2019-01-07,bachelor degree,129.0
2019-01-08,Alumni,6.0
2019-01-08,Teacher,356.0
2019-01-08,bachelor degree,94.0
2019-01-08,doctoral degree,82.0
2019-01-08,master degree,43.0
2019-01-09,master degree,63.0
2019-01-09,bachelor degree,80.0
2019-01-09,doctoral degree,88.0
2019-01-09,Alumni,15.0
2019-01-09,Teacher,152.0
2019-01-10,Alumni,14.0
2019-01-10,Teacher,1518.0
2019-01-10,bachelor degree,67.0
2019-01-10,doctoral degree,76.0
2019-01-10,master degree,62.0
2019-01-11,doctoral degree,97.0
2019-01-11,Alumni,6.0
2019-01-11,Teacher,2758.0
2019-01-11,bachelor degree,117.0
2019-01-11,master degree,58.0
2019-01-12,master degree,106.0
2019-01-12,doctoral degree,42.0
2019-01-12,Teacher,1107.0
2019-01-12,bachelor degree,33.0
2019-01-12,Alumni,24.0
2019-01-13,Alumni,25.0
2019-01-13,Teacher,67.0
2019-01-13,bachelor degree,25.0
2019-01-13,doctoral degree,70.0
2019-01-13,master degree,50.0
2019-01-14,Alumni,2.0
2019-01-14,Teacher,91.0
2019-01-14,bachelor degree,41.0
