,Member_type,Duration(day)
0,bachelor degree,9.0
1,bachelor degree,13.0
2,bachelor degree,14.0
3,bachelor degree,7.0
4,bachelor degree,18.0
7,bachelor degree,12.0
8,bachelor degree,19.0
9,bachelor degree,2.0
10,bachelor degree,13.0
11,bachelor degree,12.0
13,bachelor degree,13.0
14,bachelor degree,10.0
15,bachelor degree,4.0
16,bachelor degree,25.0
17,bachelor degree,29.0
18,bachelor degree,19.0
19,bachelor degree,28.0
20,bachelor degree,25.0
21,bachelor degree,12.0
22,bachelor degree,15.0
23,bachelor degree,1.0
26,bachelor degree,4.0
27,bachelor degree,4.0
28,bachelor degree,29.0
29,bachelor degree,18.0
30,bachelor degree,10.0
31,bachelor degree,9.0
33,bachelor degree,14.0
34,bachelor degree,23.0
35,bachelor degree,12.0
36,bachelor degree,4.0
37,bachelor degree,14.0
38,bachelor degree,14.0
39,bachelor degree,18.0
40,bachelor degree,14.0
42,bachelor degree,6.0
43,bachelor degree,24.0
44,bachelor degree,28.0
45,bachelor degree,28.0
46,bachelor degree,2.0
47,bachelor degree,18.0
49,bachelor degree,33.0
50,bachelor degree,29.0
51,bachelor degree,27.0
52,bachelor degree,13.0
53,bachelor degree,19.0
54,bachelor degree,36.0
56,bachelor degree,2.0
57,bachelor degree,4.0
58,bachelor degree,9.0
59,bachelor degree,4.0
60,bachelor degree,11.0
61,bachelor degree,18.0
62,bachelor degree,15.0
63,bachelor degree,17.0
64,bachelor degree,6.0
65,bachelor degree,12.0
66,bachelor degree,3.0
67,bachelor degree,4.0
68,bachelor degree,11.0
70,bachelor degree,14.0
71,bachelor degree,2.0
72,bachelor degree,2.0
73,bachelor degree,12.0
74,bachelor degree,13.0
75,bachelor degree,31.0
76,bachelor degree,4.0
77,bachelor degree,15.0
78,bachelor degree,22.0
79,bachelor degree,6.0
80,bachelor degree,31.0
81,bachelor degree,11.0
82,bachelor degree,2.0
83,bachelor degree,35.0
84,bachelor degree,13.0
85,bachelor degree,2.0
86,bachelor degree,7.0
87,bachelor degree,7.0
88,bachelor degree,26.0
89,bachelor degree,20.0
90,bachelor degree,14.0
91,bachelor degree,75.0
92,bachelor degree,5.0
93,bachelor degree,6.0
94,bachelor degree,3.0
95,bachelor degree,8.0
96,bachelor degree,84.0
97,bachelor degree,8.0
98,bachelor degree,10.0
99,bachelor degree,8.0
100,bachelor degree,14.0
101,bachelor degree,14.0
103,bachelor degree,28.0
104,bachelor degree,5.0
105,bachelor degree,23.0
106,bachelor degree,4.0
107,bachelor degree,10.0
108,bachelor degree,14.0
109,bachelor degree,20.0
111,bachelor degree,21.0
112,bachelor degree,14.0
113,bachelor degree,6.0
114,bachelor degree,14.0
115,bachelor degree,13.0
116,bachelor degree,14.0
117,bachelor degree,6.0
118,bachelor degree,17.0
119,bachelor degree,29.0
120,bachelor degree,3.0
121,bachelor degree,7.0
122,bachelor degree,6.0
123,bachelor degree,125.0
124,bachelor degree,2.0
125,bachelor degree,7.0
126,bachelor degree,6.0
127,bachelor degree,117.0
128,bachelor degree,10.0
129,bachelor degree,2.0
130,bachelor degree,14.0
131,bachelor degree,12.0
132,bachelor degree,22.0
134,bachelor degree,25.0
135,bachelor degree,14.0
137,bachelor degree,15.0
138,bachelor degree,24.0
139,bachelor degree,6.0
140,bachelor degree,13.0
141,bachelor degree,4.0
142,bachelor degree,19.0
143,bachelor degree,24.0
144,bachelor degree,13.0
145,bachelor degree,15.0
146,bachelor degree,14.0
147,bachelor degree,10.0
148,bachelor degree,3.0
149,bachelor degree,5.0
150,bachelor degree,12.0
151,bachelor degree,12.0
152,bachelor degree,23.0
154,bachelor degree,8.0
155,bachelor degree,29.0
156,bachelor degree,14.0
157,bachelor degree,2.0
158,bachelor degree,5.0
159,bachelor degree,7.0
160,bachelor degree,11.0
161,bachelor degree,5.0
162,bachelor degree,2.0
163,bachelor degree,18.0
164,bachelor degree,28.0
165,bachelor degree,14.0
166,bachelor degree,28.0
167,bachelor degree,1.0
168,bachelor degree,21.0
169,bachelor degree,11.0
170,bachelor degree,3.0
171,bachelor degree,14.0
172,bachelor degree,4.0
174,bachelor degree,16.0
175,bachelor degree,18.0
176,bachelor degree,117.0
177,bachelor degree,13.0
178,bachelor degree,8.0
179,bachelor degree,3.0
180,bachelor degree,23.0
181,bachelor degree,27.0
182,bachelor degree,14.0
183,bachelor degree,11.0
184,bachelor degree,14.0
185,bachelor degree,7.0
186,bachelor degree,27.0
188,bachelor degree,6.0
189,bachelor degree,28.0
190,bachelor degree,28.0
191,bachelor degree,22.0
192,bachelor degree,6.0
193,bachelor degree,7.0
194,bachelor degree,12.0
195,bachelor degree,11.0
196,bachelor degree,6.0
197,bachelor degree,3.0
198,bachelor degree,14.0
199,bachelor degree,14.0
200,bachelor degree,10.0
201,bachelor degree,5.0
202,bachelor degree,9.0
203,bachelor degree,14.0
204,bachelor degree,12.0
