degree,description,location_name,content,duration_min,checkout_count
Alumni,Member A (Alumni),Law Library (3rd Floor),Book,45454.87142857142,21.0
Alumni,Member A (Alumni),Law Library (3rd Floor),E Book,137613.4710526316,57.0
Alumni,Member A (Alumni),Law Library (3rd Floor),Languages,18950.525,6.0
Alumni,Member A (Alumni),Law Library (4th Floor),Book,131993.1,3.0
Alumni,Member A (Alumni),Law Library (4th Floor),E Book,51259.39166666666,6.0
Alumni,OAR Member A (Alumni),Architecture Library (3rd Floor),History and Geography,12236.165217391304,10.0
Alumni,OAR Member A (Alumni),Architecture Library (4th Floor),E Book,14045.025,19.0
Alumni,OAR Member A (Alumni),Architecture Library (4th Floor),History and Geography,12197.31153846154,0.0
Alumni,OAR Member A (Alumni),Architecture Library (4th Floor),Languages,14387.85,2.0
Alumni,OAR Member A (Alumni),Architecture Library (4th Floor),Literatures,2127.633333333333,0.0
Alumni,OAR Member A (Alumni),Architecture Library (Quiet Zone),Book,9069.586666666666,0.0
Alumni,OAR Member A (Alumni),Architecture Library (Quiet Zone),E Book,5659.6833333333325,0.0
Alumni,OAR Member A (Alumni),Architecture Library (Quiet Zone),History and Geography,13173.495454545458,6.0
Alumni,OAR Member A (Alumni),Architecture Library (Quiet Zone),Languages,24039.55833333333,24.0
Alumni,OAR Member A (Alumni),Architecture Library (Quiet Zone),Literatures,2717.116666666667,0.0
Alumni,OAR Member A (Alumni),Architecture Library (Quiet Zone),Reserve 7,1095.4166666666667,0.0
Alumni,OAR Member A (Alumni),Arts Library,Arts and recration,22798.9,0.0
Alumni,OAR Member A (Alumni),Arts Library,Book,17356.526720047455,610.0
Alumni,OAR Member A (Alumni),Arts Library,E Book,19943.1640952381,294.0
Alumni,OAR Member A (Alumni),Arts Library,E Book for Staff,18230.333333333336,4.0
Alumni,OAR Member A (Alumni),Arts Library,E Reserve 7,21154.7625,0.0
Alumni,OAR Member A (Alumni),Arts Library,History and Geography,10646.559523809525,7.0
Alumni,OAR Member A (Alumni),Arts Library,Languages,20233.232407407413,60.0
Alumni,OAR Member A (Alumni),Arts Library,Literatures,11308.613333333336,6.0
Alumni,OAR Member A (Alumni),Arts Library,Philosophy,20002.708333333336,0.0
Alumni,OAR Member A (Alumni),Arts Library,Religion,23161.214912280702,24.0
Alumni,OAR Member A (Alumni),Arts Library,Reserve 3,21702.358333333334,0.0
Alumni,OAR Member A (Alumni),Arts Library,Reserve 7,5816.2,0.0
Alumni,OAR Member A (Alumni),Arts Library,Social sciences,37266.81458333334,25.0
Alumni,OAR Member A (Alumni),Arts Library,Special Collection,19941.25,10.0
Alumni,OAR Member A (Alumni),Arts Library,Technologies,21685.424019607843,38.0
Alumni,OAR Member A (Alumni),Arts Library : ASEAN Collection,Book,18270.419047619045,15.0
Alumni,OAR Member A (Alumni),Arts Library : ASEAN Collection,E Book,27463.190277777783,18.0
Alumni,OAR Member A (Alumni),Arts Library : ASEAN Collection,History and Geography,18092.483333333334,0.0
Alumni,OAR Member A (Alumni),Arts Library : ASEAN Collection,Languages,24323.374999999996,3.0
Alumni,OAR Member A (Alumni),Arts Library : ASEAN Collection,Reserve 3,23930.85833333333,1.0
Alumni,OAR Member A (Alumni),Arts Library : ASEAN Collection,Technologies,25046.083333333336,1.0
Alumni,OAR Member A (Alumni),Arts Library : Audio-Visual Collection,Laser Disc,5667.466666666667,2.0
Alumni,OAR Member A (Alumni),Arts Library : Audio-Visual at Mahachakri Sirindhorn Bld.,E Book,5234.192592592593,15.0
Alumni,OAR Member A (Alumni),Arts Library : Audio-Visual at Mahachakri Sirindhorn Bld.,E Book for Staff,2697.85,0.0
Alumni,OAR Member A (Alumni),Arts Library : Audio-Visual at Mahachakri Sirindhorn Bld.,E Reserve 7,5189.368,15.0
Alumni,OAR Member A (Alumni),Arts Library : Audio-Visual at Mahachakri Sirindhorn Bld.,Fulltext CD-ROM,5147.551666666666,15.0
Alumni,OAR Member A (Alumni),Arts Library : Audio-Visual at Mahachakri Sirindhorn Bld.,Laser Disc,5119.469999999999,4.0
