Member_Type,Description_Type,Borrow,Duration_day,Content
Alumni,Member A (Alumni),21.0,32.0,Book
Alumni,Member A (Alumni),57.0,96.0,E Book
Alumni,Member A (Alumni),6.0,13.0,Languages
Alumni,Member A (Alumni),3.0,92.0,Book
Alumni,Member A (Alumni),6.0,36.0,E Book
Alumni,OAR Member A (Alumni),10.0,8.0,History and Geography
Alumni,OAR Member A (Alumni),19.0,10.0,E Book
Alumni,OAR Member A (Alumni),0.0,8.0,History and Geography
Alumni,OAR Member A (Alumni),2.0,10.0,Languages
Alumni,OAR Member A (Alumni),0.0,1.0,Literatures
Alumni,OAR Member A (Alumni),0.0,6.0,Book
Alumni,OAR Member A (Alumni),0.0,4.0,E Book
Alumni,OAR Member A (Alumni),6.0,9.0,History and Geography
Alumni,OAR Member A (Alumni),24.0,17.0,Languages
Alumni,OAR Member A (Alumni),0.0,2.0,Literatures
Alumni,OAR Member A (Alumni),0.0,1.0,Reserve 7
Alumni,OAR Member A (Alumni),0.0,16.0,Arts and recration
Alumni,OAR Member A (Alumni),610.0,12.0,Book
Alumni,OAR Member A (Alumni),294.0,14.0,E Book
Alumni,OAR Member A (Alumni),4.0,13.0,E Book for Staff
Alumni,OAR Member A (Alumni),0.0,15.0,E Reserve 7
Alumni,OAR Member A (Alumni),7.0,7.0,History and Geography
Alumni,OAR Member A (Alumni),60.0,14.0,Languages
Alumni,OAR Member A (Alumni),6.0,8.0,Literatures
Alumni,OAR Member A (Alumni),0.0,14.0,Philosophy
Alumni,OAR Member A (Alumni),24.0,16.0,Religion
Alumni,OAR Member A (Alumni),0.0,15.0,Reserve 3
Alumni,OAR Member A (Alumni),0.0,4.0,Reserve 7
Alumni,OAR Member A (Alumni),25.0,26.0,Social sciences
Alumni,OAR Member A (Alumni),10.0,14.0,Special Collection
Alumni,OAR Member A (Alumni),38.0,15.0,Technologies
Alumni,OAR Member A (Alumni),15.0,13.0,Book
Alumni,OAR Member A (Alumni),18.0,19.0,E Book
Alumni,OAR Member A (Alumni),0.0,13.0,History and Geography
Alumni,OAR Member A (Alumni),3.0,17.0,Languages
Alumni,OAR Member A (Alumni),1.0,17.0,Reserve 3
Alumni,OAR Member A (Alumni),1.0,17.0,Technologies
Alumni,OAR Member A (Alumni),2.0,4.0,Laser Disc
Alumni,OAR Member A (Alumni),15.0,4.0,E Book
Alumni,OAR Member A (Alumni),0.0,2.0,E Book for Staff
Alumni,OAR Member A (Alumni),15.0,4.0,E Reserve 7
Alumni,OAR Member A (Alumni),15.0,4.0,Fulltext CD-ROM
Alumni,OAR Member A (Alumni),4.0,4.0,Laser Disc
Alumni,OAR Member A (Alumni),0.0,5.0,Reserve 3
Alumni,OAR Member A (Alumni),0.0,4.0,Technologies
Alumni,OAR Member A (Alumni),2.0,2.0,Video Disc
Alumni,OAR Member A (Alumni),130.0,11.0,E Book
Alumni,OAR Member A (Alumni),1.0,13.0,Technologies
Alumni,OAR Member A (Alumni),1.0,4.0,Book
Alumni,OAR Member A (Alumni),0.0,8.0,E Book
Alumni,OAR Member A (Alumni),3.0,19.0,Special Collection
Alumni,OAR Member A (Alumni),7.0,15.0,Rare Book
